MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_090_r0			Time:	20.018066	s	4/15/2019 3:41:17 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
10.574632	183.97913	7.2001953
10.574967	190.58321	7.2099609
10.575662	192.52583	7.2197266
10.576688	195.53685	7.2294922
10.577309	188.09856	7.2392578
10.578486	189.3755	7.2490234
10.577871	184.57886	7.2587891
10.580406	187.24913	7.2685547
10.580369	195.14122	7.2783203
10.581028	198.66808	7.2880859
10.583057	197.99297	7.2978516
10.582782	190.05853	7.3076172
10.584257	188.62692	7.3173828
10.586226	193.23131	7.3271484
10.585185	197.95517	7.3369141
10.586188	198.59485	7.3466797
10.587415	200.84018	7.3564453
10.58829	197.49702	7.3662109
10.588547	194.96213	7.3759766
10.589638	195.00775	7.3857422
10.591184	195.3407	7.3955078
10.591523	203.75891	7.4052734
10.592217	204.73558	7.4150391
10.593723	201.49077	7.4248047
10.594024	198.13902	7.4345703
10.594589	196.71344	7.4443359
10.595201	199.8734	7.4541016
10.596172	202.25551	7.4638672
10.597098	203.8121	7.4736328
10.598435	206.34976	7.4833984
10.599224	203.418	7.4931641
10.600275	199.39427	7.5029297
10.60142	196.88148	7.5126953
10.600715	201.86516	7.5224609
10.602104	208.42889	7.5322266
10.603541	207.20308	7.5419922
10.603346	208.29848	7.5517578
10.604073	204.83354	7.5615234
10.605287	202.39406	7.5712891
10.60618	205.01871	7.5810547
10.60611	206.58635	7.5908203
10.607437	212.33954	7.6005859
10.609006	214.12581	7.6103516
