MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_4545_r0			Time:	20.02002	s	4/13/2019 7:12:10 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-39.503361	207.78732	6.5471191
-39.501778	212.28482	6.5568848
-39.502525	221.73	6.5666504
-39.500793	232.57951	6.576416
-39.500656	229.29333	6.5861816
-39.499634	219.61714	6.5959473
-39.498909	211.93948	6.6057129
-39.497616	212.23682	6.6154785
-39.496002	223.96333	6.6252441
-39.495174	230.45059	6.6350098
-39.494308	235.29762	6.6447754
-39.493996	228.2406	6.654541
-39.492886	217.14761	6.6643066
-39.493595	211.94762	6.6740723
-39.491837	217.06569	6.6838379
-39.492283	232.00716	6.6936035
-39.490459	238.99704	6.7033691
-39.49017	235.52599	6.7131348
-39.489674	222.72272	6.7229004
-39.488205	215.20474	6.732666
-39.487564	220.06107	6.7424316
-39.486378	228.54391	6.7521973
-39.484989	240.6701	6.7619629
-39.483368	240.3056	6.7717285
-39.483238	231.67055	6.7814941
-39.48336	220.38599	6.7912598
-39.482155	216.7803	6.8010254
-39.481113	229.61313	6.810791
-39.481186	240.91965	6.8205566
-39.480675	246.23009	6.8303223
-39.478809	238.21022	6.8400879
-39.478745	226.06506	6.8498535
-39.478352	222.16991	6.8596191
-39.476967	225.23007	6.8693848
-39.476448	241.60756	6.8791504
-39.475864	247.88602	6.888916
-39.474846	244.88608	6.8986816
-39.47361	235.80537	6.9084473
-39.471119	221.66872	6.9182129
-39.472565	227.79466	6.9279785
-39.470554	237.72102	6.9377441
-39.469383	249.03949	6.9475098
-39.469135	253.12474	6.9572754
-39.467823	238.1105	6.967041
-39.46806	231.56819	6.9768066
-39.467083	229.69531	6.9865723
-39.466526	236.31976	6.9963379
-39.464546	246.69847	7.0061035
-39.463783	252.25389	7.0158691
-39.462383	250.24313	7.0256348
-39.463116	236.69366	7.0354004
-39.461941	231.06017	7.045166
-39.461304	235.86035	7.0549316
-39.459843	248.25484	7.0646973
-39.459465	257.27036	7.0744629
-39.458458	252.78375	7.0842285
-39.458347	246.00792	7.0939941
-39.457188	238.40485	7.1037598
-39.456211	235.29604	7.1135254
-39.45525	243.59496	7.123291
-39.454109	256.08975	7.1330566
-39.45343	261.3179	7.1428223
-39.452694	253.84871	7.1525879
-39.452	244.20787	7.1623535
-39.451572	236.67642	7.1721191
-39.451256	243.7347	7.1818848
-39.449799	257.3035	7.1916504
-39.44812	260.38046	7.201416
-39.447689	262.61893	7.2111816
-39.448162	251.55542	7.2209473
-39.445683	243.31619	7.2307129
-39.445812	242.05614	7.2404785
-39.444859	249.81866	7.2502441
-39.444275	265.39166	7.2600098
-39.443932	266.79999	7.2697754
